site,waterYr,var,val,n,source
W6,1964,SO4_NO3,140.5269841998009,51,Streamwater
W6,1965,SO4_NO3,143.2620512476076,53,Streamwater
W6,1966,SO4_NO3,143.2327848816452,48,Streamwater
W6,1967,SO4_NO3,149.21348692145196,44,Streamwater
W6,1968,SO4_NO3,142.0782568772202,36,Streamwater
W6,1969,SO4_NO3,151.3650680755417,50,Streamwater
W6,1970,SO4_NO3,175.07021173872297,54,Streamwater
W6,1971,SO4_NO3,165.0201702871292,54,Streamwater
W6,1972,SO4_NO3,154.6087661950481,52,Streamwater
W6,1973,SO4_NO3,153.23210648845895,55,Streamwater
W6,1974,SO4_NO3,172.76623796413622,52,Streamwater
W6,1975,SO4_NO3,156.93044810104476,53,Streamwater
W6,1976,SO4_NO3,157.4442037551921,54,Streamwater
W6,1977,SO4_NO3,127.31684732545978,53,Streamwater
W6,1978,SO4_NO3,126.67894477373723,50,Streamwater
W6,1979,SO4_NO3,135.82314223800782,54,Streamwater
W6,1980,SO4_NO3,145.98201016546352,51,Streamwater
W6,1981,SO4_NO3,122.01123633391461,54,Streamwater
W6,1982,SO4_NO3,125.01332590457389,54,Streamwater
W6,1983,SO4_NO3,104.05453637632004,57,Streamwater
W6,1984,SO4_NO3,120.54326754544704,53,Streamwater
W6,1985,SO4_NO3,107.51161112126215,52,Streamwater
W6,1986,SO4_NO3,114.09437253097393,54,Streamwater
W6,1987,SO4_NO3,110.5120864473142,53,Streamwater
W6,1988,SO4_NO3,124.67516793751216,57,Streamwater
W6,1989,SO4_NO3,128.70586274699343,57,Streamwater
W6,1990,SO4_NO3,108.1063938769174,55,Streamwater
W6,1991,SO4_NO3,108.21000521906817,54,Streamwater
W6,1992,SO4_NO3,98.45518858275362,58,Streamwater
W6,1993,SO4_NO3,102.4171076684388,58,Streamwater
W6,1994,SO4_NO3,104.69352267146095,57,Streamwater
W6,1995,SO4_NO3,93.41318149059809,62,Streamwater
W6,1996,SO4_NO3,85.90100237448355,72,Streamwater
W6,1997,SO4_NO3,89.46323902064366,76,Streamwater
W6,1998,SO4_NO3,91.84349930823063,77,Streamwater
W6,1999,SO4_NO3,87.09754158642217,86,Streamwater
W6,2000,SO4_NO3,90.03229970625091,73,Streamwater
W6,2001,SO4_NO3,83.30009048936286,53,Streamwater
W6,2002,SO4_NO3,86.0997565249337,55,Streamwater
W6,2003,SO4_NO3,77.4635586440299,62,Streamwater
W6,2004,SO4_NO3,79.63532431251227,57,Streamwater
W6,2005,SO4_NO3,70.46175597548987,55,Streamwater
W6,2006,SO4_NO3,71.25427316837866,55,Streamwater
W6,2007,SO4_NO3,73.71108883255272,58,Streamwater
W6,2008,SO4_NO3,63.907104641233886,57,Streamwater
W6,2009,SO4_NO3,62.03438397048013,56,Streamwater
W6,2010,SO4_NO3,55.60210509751898,56,Streamwater
W6,2011,SO4_NO3,57.68513252863634,52,Streamwater
W6,2012,SO4_NO3,49.97781969103686,58,Streamwater
W6,2013,SO4_NO3,67.55425508797512,89,Streamwater
W6,2014,SO4_NO3,63.43420513835371,75,Streamwater
W6,2015,SO4_NO3,50.55491694637596,63,Streamwater
W6,2016,SO4_NO3,50.27118518862645,48,Streamwater
W6,2017,SO4_NO3,52.55951367065751,50,Streamwater
W6,2018,SO4_NO3,43.59670623590338,53,Streamwater
W6,2019,SO4_NO3,49.11321659776329,50,Streamwater
W6,2020,SO4_NO3,52.596300450415065,47,Streamwater
W6,2021,SO4_NO3,51.172670706980625,50,Streamwater
W6,2022,SO4_NO3,49.50346407097104,44,Streamwater
W6,1963,base_cat,151.32358902608507,56,Streamwater
W6,1964,base_cat,117.74168228214316,51,Streamwater
W6,1965,base_cat,136.5536010369509,53,Streamwater
W6,1966,base_cat,130.06119857032508,48,Streamwater
W6,1967,base_cat,139.44222520680458,44,Streamwater
W6,1968,base_cat,127.4684015337165,36,Streamwater
W6,1969,base_cat,139.54233378698308,50,Streamwater
W6,1970,base_cat,133.9783624384954,54,Streamwater
W6,1971,base_cat,135.90640663759478,54,Streamwater
W6,1972,base_cat,129.41314419142253,52,Streamwater
W6,1973,base_cat,116.51637688758842,55,Streamwater
W6,1974,base_cat,139.6278691080885,52,Streamwater
W6,1975,base_cat,120.42435273538153,53,Streamwater
W6,1976,base_cat,117.86281493020645,54,Streamwater
W6,1977,base_cat,105.90089636746279,53,Streamwater
W6,1978,base_cat,104.8304777473332,50,Streamwater
W6,1979,base_cat,120.93350374946056,54,Streamwater
W6,1980,base_cat,123.24794582998133,51,Streamwater
W6,1981,base_cat,97.74943534429617,54,Streamwater
W6,1982,base_cat,101.69665525311972,54,Streamwater
W6,1983,base_cat,89.89038945256591,57,Streamwater
W6,1984,base_cat,106.59353325961496,53,Streamwater
W6,1985,base_cat,93.42249580695811,52,Streamwater
W6,1986,base_cat,99.97457653558843,54,Streamwater
W6,1987,base_cat,104.76852009970405,53,Streamwater
W6,1988,base_cat,116.74391045674032,57,Streamwater
W6,1989,base_cat,107.38185167120626,57,Streamwater
W6,1990,base_cat,92.20527508582586,55,Streamwater
W6,1991,base_cat,92.49008282701277,54,Streamwater
W6,1992,base_cat,86.0696904014447,58,Streamwater
W6,1993,base_cat,93.72197294596633,58,Streamwater
W6,1994,base_cat,104.21363260350329,57,Streamwater
W6,1995,base_cat,83.2515938089597,62,Streamwater
W6,1996,base_cat,79.28381367521611,72,Streamwater
W6,1997,base_cat,91.31609603738237,76,Streamwater
W6,1998,base_cat,88.75584734338437,77,Streamwater
W6,1999,base_cat,83.75083173474953,86,Streamwater
W6,2000,base_cat,86.19395650225455,73,Streamwater
W6,2001,base_cat,83.42489035404391,53,Streamwater
W6,2002,base_cat,88.49125096803247,55,Streamwater
W6,2003,base_cat,75.47049756729488,62,Streamwater
W6,2004,base_cat,81.18809358915956,57,Streamwater
W6,2005,base_cat,75.71853665771133,55,Streamwater
W6,2006,base_cat,74.95007084894745,55,Streamwater
W6,2007,base_cat,82.71581298354644,58,Streamwater
W6,2008,base_cat,68.41949642396253,57,Streamwater
W6,2009,base_cat,75.7912854248023,56,Streamwater
W6,2010,base_cat,70.27578951704723,56,Streamwater
W6,2011,base_cat,71.37573581740814,52,Streamwater
W6,2012,base_cat,73.63121349977678,58,Streamwater
W6,2013,base_cat,87.24332017214365,89,Streamwater
W6,2014,base_cat,72.84592925031717,75,Streamwater
W6,2015,base_cat,72.88788136696753,63,Streamwater
W6,2016,base_cat,66.42242682524136,48,Streamwater
W6,2017,base_cat,67.30869051003761,50,Streamwater
W6,2018,base_cat,58.69391172525018,53,Streamwater
W6,2019,base_cat,63.44178386805982,50,Streamwater
W6,2020,base_cat,66.65742634677295,47,Streamwater
W6,2021,base_cat,75.6293722057425,50,Streamwater
W6,2022,base_cat,73.22083567745894,44,Streamwater
